ColName,311 Service Requests,Annual Average Daily Traffic Volume Counts,Code Violations,Crime Incidents,Monthly Recycling and Waste Collection Statistics,Parking Summonses,Permits
AADT,,1.0,,,,,
AADT CARS,,1.0,,,,,
AADT TRUCKS,,1.0,,,,,
AADT YEAR,,1.0,,,,,
ADDRESS,,,1.0,,,,1.0
ADDRESS LINE 1,1.0,,,,,,
ADDRESS LINE 2,1.0,,,,,,
ADDRESS NUMBER,1.0,,,,,,
ADDRESS_1,,,,1.0,,,
ADDRESS_2,,,,1.0,,,
APPLICANT,,,,,,,1.0
APPROACH,,1.0,,,,,
AT,,1.0,,,,,
CASE NUMBER,,,1.0,,,,
CASE REFERENCE,1.0,,,,,,
CASE TYPE,,,1.0,,,,
CASE_NUMBER,,,,1.0,,,
CENSUS BLOCK,1.0,,1.0,,,1.0,1.0
CENSUS BLOCK GROUP,1.0,,1.0,,,1.0,1.0
CENSUS TRACT,1.0,,1.0,,,1.0,1.0
CITY,1.0,,1.0,1.0,,1.0,1.0
CLEARANCE_TYPE,,,,1.0,,,
CLOSED DATE,1.0,,,,,,
CODE,,,1.0,,,,
CODE SECTION,,,1.0,,,,
COMMENTS,,,1.0,,,,
CONTRACTOR LICENSE NUMBER,,,,,,,1.0
COUNCIL DISTRICT,1.0,,1.0,,,1.0,1.0
COUNTRY,,,,1.0,,,
COUNTY,,1.0,,,,,
CREATED_AT,,,,1.0,,,
DATE,,,1.0,,1.0,,
DAY_OF_WEEK,,,,1.0,,,
DESCRIPTION,,,1.0,,,,
DESCRIPTION OF WORK,,,,,,,1.0
DIRECTION,,1.0,,,,,
EXPIRATION DATE,,,,,,,1.0
FEES,,,,,,,1.0
FROM,,1.0,,,,,
HOUR_OF_DAY,,,,1.0,,,
INCIDENT_DATETIME,,,,1.0,,,
INCIDENT_DESCRIPTION,,,,1.0,,,
INCIDENT_ID,,,,1.0,,,
INCIDENT_TYPE_PRIMARY,,,,1.0,,,
INSPECTOR,,,1.0,,,,1.0
ISSUED,,,,,,,1.0
LAND USE,,,,,,,1.0
LATITUDE,1.0,,1.0,1.0,,1.0,1.0
LICENSE TYPE,,,,,,,1.0
LOCAL ID,,1.0,,,,,
LOCATION,1.0,1.0,1.0,1.0,,1.0,1.0
LONGITUDE,1.0,,1.0,1.0,,1.0,1.0
MONTH,,,,,1.0,,
MUNICIPALITY,,1.0,,,,,
NEIGHBORHOOD,1.0,,1.0,,,,1.0
OBJECT TYPE,1.0,,,,,,
ON,,1.0,,,,,
OPEN DATE,1.0,,,,,,
ORIGINAL FINE,,,,,,1.0,
PARENT_INCIDENT_TYPE,,,,1.0,,,
PERMIT NUMBER,,,,,,,1.0
PERMIT TYPE,,,,,,,1.0
PLANS SUBMITTED,,,,,,,1.0
POLICE DISTRICT,1.0,,1.0,,,1.0,1.0
PROPCLASS,,,1.0,,,,
PROPERTY ID,1.0,,,,,,
REASON,1.0,,,,,,
SBL,,,,,,,1.0
STATE,1.0,,1.0,1.0,,1.0,1.0
STATUS,1.0,,1.0,,,,
SUBJECT,1.0,,,,,,
SUMMONS DATE,,,,,,1.0,
SUMMONS NUMBER,,,,,,1.0,
TO,,1.0,,,,,
TOTAL (IN TONS),,,,,1.0,,
TYPE,1.0,,,,1.0,,
UNIQUEKEY,,,1.0,,,,
UPDATED_AT,,,,1.0,,,
VALUE OF WORK,,,,,,,1.0
VIOLATION ADDRESS NUMBER,,,,,,1.0,
VIOLATION DESCRIPTION,,,,,,1.0,
VIOLATION FULL ADDRESS,,,,,,1.0,
VIOLATION LOCATION,,,1.0,,,,
VIOLATION STREET,,,,,,1.0,
VIOLATION TIME,,,,,,1.0,
X COORDINATE,1.0,,,,,,
Y COORDINATE,1.0,,,,,,
ZIP,,,1.0,1.0,,,1.0
ZIP CODE,1.0,,,,,,
